"ID","Title","Creator","Owner","Value","Currency of Value","Organization","Organization ID","Pipeline","Contact person","Contact person ID","Stage","Status","Deal created","Update time","Last stage change","Next activity date","Last activity date","Won time","Last email received","Last email sent","Lost time","Deal closed on","Lost reason","Visible to","Total activities","Done activities","Activities to do","Email messages count","Expected close date","Probability","Weighted value","Currency of Weighted value","Product quantity","Product amount","Label","Product name","MRR","Currency of MRR","ARR","Currency of ARR","ACV","Currency of ACV","Source origin","Source origin ID","Source channel","Source channel ID","Archive status","Archive time","Sequence enrollment","Go-Live Target","Property Address","Latitude of Property Address","Longitude of Property Address","Apartment/suite no of Property Address","House number of Property Address","Street/road name of Property Address","District/sublocality of Property Address","City/town/village/locality of Property Address","State/county of Property Address","Region of Property Address","Country of Property Address","ZIP/Postal code of Property Address","Full/combined address of Property Address","Property Type","Qty (clarify; units, beds, sqft)","ARR forecast","Currency of ARR forecast","CapEx ROM:","Currency of CapEx ROM:","ROI/NOI/BOM sheet","Prints/Plans External link","Prints/Plans OW DropBox Link","Lead Source","Technical POC","ICP Segment","Lead Source PPP","Readiness Score","DDI Audit Status","Audit Value","Currency of Audit Value","ARR Expansion Potential","Currency of ARR Expansion Potential"
"1","East West Properties: Coloradan (Denver, CO)","Ryan Smith","Bill Douglas","2062000","USD","The Delgany","9","Sales Pipeline","","","MSA Under Review by Prospect","Lost","2016-12-27 18:04:13","2023-01-31 08:36:32","2017-01-04 04:18:11","","2017-01-12","","2017-10-16 23:25:26","2017-10-16 19:29:23","2017-04-28 14:01:59","2017-04-28 14:01:59","Elawit","All users","4","4","0","58","2016-12-31","","2062000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","0",""
"32","Berman Enterprises (Baltimore, MD)","Ryan Smith","Bill Douglas","0","USD","Berman","12","Sales Pipeline","","","MQL","Open","2016-12-27 20:09:59","2023-07-20 19:28:12","2023-07-20 19:28:12","","2017-01-12","","2018-07-26 12:00:05","2018-07-25 19:48:28","","","","All users","1","1","0","8","2016-12-31","","0","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","45000","USD","420000","USD","","","","","","","","","","0","","0",""
"70","American Campus Communities deal","Bill Douglas","Bill Douglas","11978000","USD","American Campus Communities","3326","Sales Pipeline","","","MSA Queue to Issue","Lost","2017-01-04 02:49:32","2023-01-31 08:16:55","2021-04-16 19:37:29","","2017-05-25","","2017-06-20 00:09:24","2017-06-19 22:36:25","2017-06-26 22:22:04","2017-06-26 22:22:04","capex too high","All users","2","2","0","29","","","11978000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","1356000","USD","7910000","USD","","","","","","","","","","0","","0",""
"84","Tamares Group deal","Jim Cotton","Jim Cotton","0","USD","Tamares Group","3357","Sales Pipeline","Poju Zabludowicz","5118","SQL - Sales Qualified Lead","Lost","2017-01-09 19:04:19","2023-05-25 21:11:27","","","","","2017-01-16 02:37:36","2017-01-16 02:00:25","2023-05-25 21:11:27","2023-05-25 21:11:27","this is a foreign ISP, not a client prospect","All users","0","0","0","5","","","0","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","0",""
"95","Infinity Urban Century Group deal","Jim Cotton","Jim Cotton","200000","USD","Infinity Urban Century Group","3329","Sales Pipeline","Etienne Locoh-Donou","5149","SQL - Sales Qualified Lead","Lost","2017-01-18 17:44:54","2023-01-31 08:16:42","","","","","2017-02-22 21:33:45","","2018-08-22 20:46:05","2018-08-22 20:46:05","Rent controlled. No increase available to owners","All users","0","0","0","2","","","200000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","40000","USD","25000","USD","","","","","","","","","","0","","0",""
"121","Industry Brighton Blvd - MDU & MTU deal","Bill Douglas","David Thomson","96000","USD","Industry","3560","Sales Pipeline","","","SAL - Engaged Conversations","Lost","2017-01-30 16:39:22","2023-01-31 08:17:31","2021-04-28 20:58:31","","2017-02-03","","2018-11-20 23:16:18","2020-09-02 22:44:57","2022-04-08 19:02:46","2022-04-08 19:02:46","Clarion failed to take action","All users","1","1","0","28","","","96000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","42000","USD","56000","USD","","","","","","","","","","0","","0",""
"123","WeatherSure Systems deal","Bill Douglas","Bill Douglas","90000","USD","WeatherSure Systems","3525","Sales Pipeline","Phil Owens","5324","MSA Under Review by Prospect","Lost","2017-01-31 17:16:40","2023-01-31 08:17:31","2017-02-15 19:12:55","","2017-02-07","","2017-02-21 17:06:27","2017-02-21 16:10:22","2017-02-21 16:05:38","2017-02-21 16:05:38","CapEx","All users","1","1","0","14","","","90000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","0",""
"126","TALO - Forum RE MN deal","David Thomson","David Thomson","603076","USD","Forum RE","38","Sales Pipeline","Don Mackenzie","5346","MSA Under Review by Prospect","Lost","2017-02-08 22:38:57","2023-01-31 08:27:37","2017-09-06 20:41:01","","","","2017-09-12 20:11:43","2017-09-08 16:51:26","2018-04-24 17:02:07","2018-04-24 17:02:07","CenturyLink litigation threats","All users","0","0","0","61","","","603076","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","5307 Circle Down, Golden Valley, MN, United States","","","","5307","Circle Down","","Minneapolis","Minnesota","Hennepin County","United States","55416","5307 Circle Down, Minneapolis, MN 55416, USA","","303 units","47268","USD","272200","USD","","https://www.dropbox.com/s/0oin7k7w1qkp0kt/2017%2007-25%20Talo%20Permit%20Full%20Set.pdf?dl=0","","","","","","","","0","","0",""
"133","Country Club Gardens deal","Bill Douglas","David Thomson","2400000","USD","Broe Group","36","Sales Pipeline","","","MSA Queue to Issue","Lost","2017-02-21 02:58:09","2023-01-31 08:36:32","2021-04-16 19:37:29","","","","2017-02-28 21:43:15","2017-03-02 00:09:40","2017-04-12 16:33:23","2017-04-12 16:33:23","Gigamonster","All users","0","0","0","11","","","2400000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","32450","USD","0","","","","","","","","","","","0","","0",""
"136","DARO - Archer Apartments deal","Bill Douglas","Jim Cotton","206000","USD","DARO Management Services, LLC","3565","Sales Pipeline","Carissa Barry","5381","MSA Queue to Issue","Lost","2017-03-02 16:09:59","2023-01-31 08:16:54","2021-04-16 19:37:29","2017-11-09","2017-04-17","","2017-09-26 19:16:49","2017-09-26 18:39:04","2018-01-25 21:15:04","2018-01-25 21:15:04","Rent controlled","All users","2","1","1","77","","","206000","USD","","","","","0","","0","","0","","API","","","","Not archived","","","","","","","","","","","","","","","","","","","30000","USD","56000","USD","","https://www.dropbox.com/s/7loqvmpzumadppe/2015.10.05_CATHEDRAL%20COURT_CONSTRUCTION%20SET_COMPLETE.pdf?dl=0","","Etienne Loch","","","","","","0","","0",""
