"ID","Name","Owner","People","Open deals","Organization created","Update time","Visible to","Next activity date","Last activity date","Won deals","Lost deals","Closed deals","Total activities","Done activities","Activities to do","Email messages count","Profile picture","Address","Latitude of Address","Longitude of Address","Apartment/suite no of Address","House number of Address","Street/road name of Address","District/sublocality of Address","City/town/village/locality of Address","State/county of Address","Region of Address","Country of Address","ZIP/Postal code of Address","Full/combined address of Address","Label","Labels","Website","LinkedIn profile","Industry","Annual revenue","Number of employees","Doors"
"1","Band of America Merrill Lynch","Sean Saunders","2","0","2016-12-27 17:39:44","2020-05-21 18:49:16","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"2","Rothschild Consulting","Sean Saunders","1","0","2016-12-27 17:39:44","2023-05-26 16:19:13","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"3","Listen out of Chicago","Sean Saunders","1","0","2016-12-27 17:39:44","2017-01-03 19:54:23","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"4","WellTower Inc - REIT","Sean Saunders","1","0","2016-12-27 17:39:44","2018-08-22 14:02:02","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"5","Rocky Mountain Roastery","Sean Saunders","1","0","2016-12-27 17:39:44","2017-04-28 04:47:39","All users","2017-01-13","","0","0","0","1","0","1","0","","Winter Park, CO, United States","","","","","","","Winter Park","Colorado","Grand County","United States","80482","Winter Park, CO 80482, USA","","","","","","","",""
"6","LoHi Merchant Bank","Bill Douglas","0","0","2016-12-27 17:39:47","2017-01-31 16:56:36","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"9","The Delgany","Bill Douglas","2","0","2016-12-27 18:04:12","2020-05-21 18:50:25","All users","","2017-04-20","0","1","1","5","5","0","0","","1401 Delgany Street, Denver, CO 80202","","","","1401","Delgany Street","","Denver","Colorado","Denver County","United States","80202","1401 Delgany St, Denver, CO 80202, USA","","","","","","","",""
"11","Sling TV","Bill Douglas","1","0","2016-12-27 18:04:12","2021-12-22 22:46:29","All users","","","0","0","0","0","0","0","2","","","","","","","","","","","","","","","","","","","","","",""
"12","Berman","Bill Douglas","0","1","2016-12-27 18:04:12","2018-07-27 16:30:16","All users","","2017-01-12","0","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","",""
"13","Ventura","Bill Douglas","0","0","2016-12-27 18:04:12","2023-05-26 16:19:36","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"15","Lockton Insurance","Sean Saunders","1","0","2016-12-27 18:04:14","2020-04-28 13:49:57","All users","","","0","0","0","0","0","0","21","","","","","","","","","","","","","","","","","","","","","",""
"16","The Landmark","Bill Douglas","0","0","2016-12-27 18:04:14","2023-07-20 19:27:52","All users","","2017-01-04","0","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","",""
"19","Ascentris: Derby Project","Bill Douglas","0","0","2016-12-27 19:14:28","2018-05-24 17:46:04","All users","","2017-01-27","0","0","0","1","1","0","0","","","","","","","","","","","","","","","","","","","","","",""
"20","PeakView Partners","Bill Douglas","3","0","2016-12-27 20:00:20","2020-05-21 18:48:46","All users","","2017-03-03","0","0","0","1","1","0","7","","","","","","","","","","","","","","","","","","","","","",""
"23","FVC Leasing - Fraser Valley Shopping Ctr-","Sean Saunders","1","0","2016-12-27 20:09:57","2017-05-18 17:45:20","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"25","Four Winds","Bill Douglas","0","0","2016-12-29 20:40:59","2016-12-30 21:14:23","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"26","Cloud Nexion","Sean Saunders","0","0","2016-12-29 20:41:22","2017-01-03 23:16:25","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"27","Rocket Fiber","Bill Douglas","0","0","2016-12-29 20:41:34","2016-12-30 21:14:41","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"28","Mark Oliff","Bill Douglas","0","0","2016-12-30 22:22:17","2017-01-03 19:44:13","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"29","FVC Leasing - Fraser Valley Shopping Center","Jim Cotton","0","0","2017-01-02 17:03:45","2017-01-04 15:18:49","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"30","John Madden Company","Bill Douglas","3","0","2017-01-03 16:45:06","2022-11-29 19:25:56","All users","","2017-01-16","0","0","0","1","1","0","54","","","","","","","","","","","","","","","","","","","","","",""
"31","Greystar","Bill Douglas","1","0","2017-01-03 16:50:54","2017-09-19 21:37:14","All users","","","0","0","0","0","0","0","12","","","","","","","","","","","","","","","","","","","","","",""
"32","Etre Corporation, Inc.","Bill Douglas","0","0","2017-01-03 16:57:34","2017-01-03 16:58:47","All users","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"33","Etre","David Thomson","0","0","2017-01-03 17:05:30","2017-07-27 20:52:38","All users","","2017-01-03","0","0","0","2","2","0","0","","","","","","","","","","","","","","","","","","","","","",""
